# action|when|source
async-background|Adding periodic work, a background job, or durable delivery|docs/guide/reference/async-and-cancellation.md#select-background-work-by-delivery-contract
async-blocking-locks|Adding blocking work or holding a lock across async code|docs/guide/reference/async-and-cancellation.md#blocking-work-and-locks
async-review|Reviewing a material async, cancellation, task-ownership, or channel change|docs/guide/reference/async-and-cancellation.md#review-checklist
outbound-http|Changing an outbound HTTP timeout, retry, idempotency, redirect, response limit, or resilience policy|docs/guide/reference/outbound-http.md
grpc|Adding protobuf, gRPC, Tonic, or streaming RPC contracts|docs/guide/reference/grpc.md
deployment|Adding a Dockerfile, deployment manifest, image/release workflow, release migration sequence, or platform probe configuration|docs/guide/reference/deployment.md
domain-discovery|Exploring a new or unclear capability, bounded context, or semantic translation|docs/agents/domain.md#before-exploring-read-these
domain-workflow|Changing business meaning, a bounded-context translation, or a material Domain model|docs/agents/domain.md#choose-the-smallest-domain-workflow
domain-authority|Persisting confirmed Domain terms, capability semantics, context relationships, or ADR decisions|docs/agents/domain.md#keep-authority-explicit
domain-capability-doc|Writing a capability document|docs/agents/domain.md#capability-document
domain-modeling|Changing an Entity, Value Object, invariant, reconstruction path, or Domain Service|docs/guide/domain/modeling.md
typestate|Adding generic state markers or compile-time state transitions|docs/guide/reference/typestate.md
http-state|Changing Router state, handler state extraction, request extensions, or dependency construction|docs/guide/http/state-management.md
http-routing|Changing routes, handlers, extractors, response DTOs, route-family composition, or Router fallbacks|docs/guide/http/routing-and-handlers.md
http-domain-validation|Changing whether a rule belongs to transport validation or Domain construction|docs/guide/http/validation.md#do-not-duplicate-domain-invariants-on-dtos
http-dto-validation|Adding or changing DTO validator rules or axum-valid rejection mapping|docs/guide/http/validation.md#use-axum-valid-for-transport-dtos
http-public-errors|Changing field-level public errors or the fixed validation envelope|docs/guide/http/validation.md#keep-the-public-error-contract-stable
http-body-limit|Changing extractor body bounds or whether the shared JSON limit applies|docs/guide/http/validation.md#reference-path-createtask
http-middleware-stack|Adding or reordering a Layer|docs/guide/http/middleware.md#installed-stack
http-middleware-shape|Adding local middleware, consuming bodies in middleware, passing request-derived context, or introducing a fallible Layer|docs/guide/http/middleware.md#choose-the-smallest-middleware-shape
http-tracing|Adding alternative HTTP tracing|docs/guide/http/middleware.md#alternative-http-tracing
http-compression|Adding response compression|docs/guide/http/middleware.md#response-compression
http-request-id|Adding request IDs|docs/guide/http/middleware.md#request-ids
http-deadline|Adding a request deadline or handler timeout|docs/guide/http/middleware.md#deadlines-and-timeouts
http-cors|Adding CORS|docs/guide/http/middleware.md#explicit-cors
http-auth-middleware|Adding authentication middleware or request identity|docs/guide/http/middleware.md#authentication-and-request-identity
http-rate-limit|Adding rate limiting|docs/guide/http/middleware.md#rate-limiting
http-session-csrf|Adding sessions, cookies, or CSRF handling|docs/guide/http/middleware.md#sessions-cookies-and-csrf
observability-http|Changing request trace extraction, span attributes, error marking, health-span policy, or telemetry redaction|docs/guide/observability.md
host-configuration|Changing commands, environment sources, settings types, defaults, or configuration validation|docs/guide/app/configuration.md
host-observability|Changing Logforth/fastrace initialization, exporter selection, Resource attributes, trace flushing, or process telemetry|docs/guide/observability.md
host-runtime|Changing migrate/serve dispatch, startup order, health wiring, signal handling, resource ownership, or shutdown order|docs/guide/runtime.md
infra-query|Changing a fixed query, database row conversion, persistence reconstruction, or SQLx metadata|docs/guide/infrastructure/database.md#checked-queries
infra-migration|Changing a migration or schema lifecycle|docs/guide/infrastructure/database.md#migration-lifecycle
infra-transaction|Changing a transaction or cross-system consistency boundary|docs/guide/infrastructure/database.md#transaction-boundaries
infra-failures|Changing persistence error mapping or database verification|docs/guide/infrastructure/database.md#failures-and-verification
infra-observability|Changing client spans, outbound propagation, dependency logging, or telemetry redaction|docs/guide/observability.md
